interaction_id,client_id,type_action,valeur_achat,date,age,ville,segment,canal_acquisition,est_achat
0,C_0611,ajout_panier,0.0,2025-10-27,51,Williamstown,Standard,SEO,False
1,C_0685,page_vue,134.82147969075652,2025-10-27,35,New Alicia,Premium,Partenariat,True
2,C_0547,page_vue,0.0,2025-10-27,60,Port Jennifertown,Standard,Direct,False
3,C_0875,ajout_panier,0.0,2025-10-27,54,East Alexander,Basique,Direct,False
4,C_0219,achat,0.0,2025-10-27,22,Lake Alexabury,Premium,Email,False
5,C_0219,ajout_panier,0.0,2025-10-27,22,Lake Alexabury,Premium,Email,False
6,C_0847,ajout_panier,0.0,2025-10-27,31,West Cathyport,Premium,Email,False
7,C_0728,page_vue,0.0,2025-10-27,35,Rhodesmouth,Premium,SEO,False
8,C_0840,page_vue,18.835111423612446,2025-10-27,32,North Julietown,Standard,Affiliation,True
9,C_0849,ajout_panier,0.0,2025-10-27,19,North Wandaside,Basique,SEO,False
10,C_0532,ajout_panier,0.0,2025-10-27,56,North Laura,Standard,Affiliation,False
11,C_0518,ajout_panier,14.146445387343006,2025-10-27,56,Lake Taylorside,Basique,SEO,True
12,C_0759,achat,116.43195485774997,2025-10-27,32,Ashleyton,Basique,Publicité,True
13,C_0198,page_vue,0.0,2025-10-27,52,New Karenhaven,Premium,Direct,False
14,C_0491,ajout_panier,196.44644719447686,2025-10-27,53,New Jenniferville,Basique,Affiliation,True
15,C_0081,page_vue,0.0,2025-10-27,26,Susanville,Basique,Direct,False
16,C_0729,page_vue,0.0,2025-10-27,25,Port Melissafort,Basique,Partenariat,False
17,C_0914,achat,125.62018181232865,2025-10-27,49,New Adam,Standard,Direct,True
18,C_0444,page_vue,0.0,2025-10-27,25,Donnaport,Standard,Partenariat,False
19,C_0628,achat,0.0,2025-10-27,46,Susanfort,Premium,Publicité,False
20,C_0326,ajout_panier,0.0,2025-10-27,64,Danielview,Standard,SEO,False
21,C_0592,page_vue,0.0,2025-10-27,63,Melissamouth,Basique,Partenariat,False
22,C_0027,ajout_panier,0.0,2025-10-27,53,East Michael,Standard,Direct,False
23,C_0422,ajout_panier,0.0,2025-10-27,39,Flemingport,Standard,Affiliation,False
24,C_0609,ajout_panier,0.0,2025-10-27,64,North Sarahburgh,Basique,Publicité,False
25,C_0609,page_vue,0.0,2025-10-27,64,North Sarahburgh,Basique,Publicité,False
26,C_0516,ajout_panier,0.0,2025-10-27,40,Burtonton,Premium,SEO,False
27,C_0056,ajout_panier,0.0,2025-10-27,39,Andreaton,Standard,SEO,False
28,C_0143,achat,0.0,2025-10-27,59,Smithside,Standard,Direct,False
29,C_0085,achat,0.0,2025-10-27,36,Port Brycemouth,Basique,Affiliation,False
30,C_0955,achat,0.0,2025-10-27,26,Kingchester,Standard,SEO,False
31,C_0703,achat,48.259118605835134,2025-10-27,18,Jacksonville,Premium,Direct,True
32,C_0390,page_vue,0.0,2025-10-27,64,New Kenneth,Premium,SEO,False
33,C_0382,ajout_panier,13.409678928013449,2025-10-27,50,New Scott,Premium,Email,True
34,C_0743,page_vue,0.0,2025-10-27,58,Zacharyborough,Basique,Publicité,False
35,C_0627,ajout_panier,0.0,2025-10-27,63,Pooleville,Premium,Partenariat,False
36,C_0679,ajout_panier,116.01634036870158,2025-10-27,45,Lindaport,Standard,Affiliation,True
37,C_0065,page_vue,0.0,2025-10-27,26,Port Evan,Standard,Email,False
38,C_0898,page_vue,0.0,2025-10-27,57,Moranport,Premium,Affiliation,False
39,C_0226,ajout_panier,0.0,2025-10-27,27,Nathanstad,Standard,Publicité,False
40,C_0790,page_vue,0.0,2025-10-27,27,Marthastad,Premium,SEO,False
41,C_0426,achat,0.0,2025-10-27,45,Peckville,Basique,Email,False
42,C_0778,ajout_panier,0.0,2025-10-27,53,West Lisa,Standard,Direct,False
43,C_0507,page_vue,0.0,2025-10-27,33,South Brandonfort,Standard,Partenariat,False
44,C_0596,achat,0.0,2025-10-27,24,Calvinton,Standard,Partenariat,False
45,C_0910,ajout_panier,0.0,2025-10-27,28,North Sara,Basique,Publicité,False
46,C_0553,ajout_panier,70.18471864283006,2025-10-27,60,Lake Olivialand,Standard,Partenariat,True
47,C_0386,page_vue,62.611852601783696,2025-10-27,27,Jessicatown,Premium,Direct,True
48,C_0039,ajout_panier,0.0,2025-10-27,59,New Lisachester,Basique,SEO,False
49,C_0128,achat,0.0,2025-10-27,40,Parksfort,Standard,Publicité,False
50,C_0612,achat,0.0,2025-10-27,46,West Paul,Premium,Publicité,False
51,C_0989,ajout_panier,172.8060478542679,2025-10-27,47,Shawchester,Standard,Direct,True
52,C_0648,achat,0.0,2025-10-27,50,Lake Ashleyview,Standard,Partenariat,False
53,C_0015,page_vue,0.0,2025-10-27,24,Lake Debraton,Premium,Partenariat,False
54,C_0886,page_vue,0.0,2025-10-27,38,Blairhaven,Premium,SEO,False
55,C_0268,ajout_panier,0.0,2025-10-27,31,Caseychester,Premium,Direct,False
56,C_0101,ajout_panier,0.0,2025-10-27,52,Monicachester,Premium,Email,False
57,C_0246,achat,0.0,2025-10-27,45,Port Laurenport,Premium,Partenariat,False
58,C_0130,page_vue,0.0,2025-10-27,34,West Justinshire,Premium,Partenariat,False
59,C_0915,ajout_panier,0.0,2025-10-27,64,New Jack,Premium,Partenariat,False
60,C_0644,achat,0.0,2025-10-27,34,Cunninghamchester,Premium,Direct,False
61,C_0476,page_vue,112.75081344725344,2025-10-27,59,Francishaven,Standard,Email,True
62,C_0210,page_vue,0.0,2025-10-27,59,East Gabriel,Standard,Direct,False
63,C_0942,page_vue,0.0,2025-10-27,60,West Jenniferbury,Premium,Email,False
64,C_0225,ajout_panier,73.68952900046582,2025-10-27,61,New Frank,Standard,Publicité,True
65,C_0985,page_vue,0.0,2025-10-27,28,North Amy,Basique,Partenariat,False
66,C_0217,ajout_panier,89.82255829106775,2025-10-27,30,Bobbyburgh,Standard,Partenariat,True
67,C_0545,page_vue,46.33947940377147,2025-10-27,41,Jonathantown,Basique,SEO,True
68,C_0074,page_vue,0.0,2025-10-27,18,North Shelbyport,Basique,Direct,False
69,C_0895,ajout_panier,163.17721739072024,2025-10-27,58,Lopezshire,Premium,Partenariat,True
